id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-4433,2024-05-24,000001,Vente,980000,45,,IMP RICHELIEU,1810,01170,01173,Gex,01,,,01173000AL0103,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,1000,6.057263,46.326426
2024-4433,2024-05-24,000001,Vente,980000,45,,IMP RICHELIEU,1810,01170,01173,Gex,01,,,01173000AL0103,,,,,,,,,,,,,0,3,Dépendance,,0,P,prés,,,528,6.057263,46.326426
2024-4498,2024-06-06,000001,Vente,614000,221,,IMP DE L'ARBALETE,1020,01170,01173,Gex,01,,,01173000AM0269,,,,,,,,,,,,,0,1,Maison,101,5,S,sols,,,421,6.060341,46.322705
2024-4498,2024-06-06,000001,Vente,614000,,,LA CURE,B024,01170,01173,Gex,01,,,01173000AM0285,,,,,,,,,,,,,0,,,,,S,sols,,,5443,6.059742,46.323147
2024-4500,2024-06-07,000001,Vente,270000,117,,RUE DU COMMERCE,0140,01170,01173,Gex,01,,,01173000AI0487,,,2,109.51,,,,,,,,,1,3,Dépendance,,0,,,,,,6.057257,46.33289
2024-4500,2024-06-07,000001,Vente,270000,117,,RUE DU COMMERCE,0140,01170,01173,Gex,01,,,01173000AI0487,,,2,109.51,,,,,,,,,1,2,Appartement,115,5,,,,,,6.057257,46.33289
2024-4605,2024-05-30,000001,Vente,388000,160,,IMP DES GRIVES,1410,01170,01173,Gex,01,,,01173000AP0063,,,23,,28,93.98,,,,,,,2,2,Appartement,93,4,,,,,,6.053611,46.323871
2024-4605,2024-05-30,000001,Vente,388000,160,,IMP DES GRIVES,1410,01170,01173,Gex,01,,,01173000AP0063,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.053611,46.323871
2024-4605,2024-05-30,000001,Vente,388000,160,,IMP DES GRIVES,1410,01170,01173,Gex,01,,,01173000AP0063,,,23,,28,93.98,,,,,,,2,3,Dépendance,,0,,,,,,6.053611,46.323871
2024-4607,2024-05-30,000001,Vente,625000,532,B,AV FRANCIS BLANCHARD,0309,01170,01173,Gex,01,,,01173000AK0136,,,2,131.3,,,,,,,,,1,1,Maison,130,5,,,,,,6.054962,46.327551
2024-4608,2024-05-31,000001,Vente,325000,321,,RUE DE GEX LA VILLE,0362,01170,01173,Gex,01,,,01173000AI0278,,,24,62.9,,,,,,,,,1,2,Appartement,63,3,,,,,,6.06311,46.336435
2024-4608,2024-05-31,000001,Vente,325000,321,,RUE DE GEX LA VILLE,0362,01170,01173,Gex,01,,,01173000AI0278,,,358,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.06311,46.336435
2024-4699,2024-06-06,000001,Vente,148612,48,,IMP DU BAILLIAGE,1060,01170,01173,Gex,01,,,01173000AM0301,,,11,,8,30.73,,,,,,,2,2,Appartement,30,1,,,,,,6.056011,46.325406
2024-4699,2024-06-06,000001,Vente,148612,48,,IMP DU BAILLIAGE,1060,01170,01173,Gex,01,,,01173000AM0301,,,11,,8,30.73,,,,,,,2,3,Dépendance,,0,,,,,,6.056011,46.325406
2024-4747,2024-05-30,000001,Vente,406000,,,CHE DE LA VIGNETTE,0770,01170,01173,Gex,01,,,01173000AO0033,,,10,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.056402,46.321071
2024-4747,2024-05-30,000001,Vente,406000,,,CHE DE LA VIGNETTE,0770,01170,01173,Gex,01,,,01173000AO0033,,,31,,42,124.76,,,,,,,2,3,Dépendance,,0,,,,,,6.056402,46.321071
2024-4747,2024-05-30,000001,Vente,406000,,,CHE DE LA VIGNETTE,0770,01170,01173,Gex,01,,,01173000AO0033,,,31,,42,124.76,,,,,,,2,2,Appartement,130,4,,,,,,6.056402,46.321071
2024-4747,2024-05-30,000001,Vente,406000,,,CHE DE LA VIGNETTE,0770,01170,01173,Gex,01,,,01173000AO0033,,,11,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.056402,46.321071
2024-4757,2024-05-30,000001,Vente,152330,291,,RUE MARIUS CADOZ,0562,01170,01173,Gex,01,,,01173000AH0099,,,459,,467,,,,,,,,2,2,Appartement,30,1,,,,,,6.063262,46.331279
2024-4757,2024-05-30,000001,Vente,152330,291,,RUE MARIUS CADOZ,0562,01170,01173,Gex,01,,,01173000AH0099,,,459,,467,,,,,,,,2,3,Dépendance,,0,,,,,,6.063262,46.331279
2024-4908,2024-05-30,000001,Vente,523395,40,,RUE DE PARIS,0600,01170,01173,Gex,01,,,01173000AI0179,,,,,,,,,,,,,0,1,Maison,121,5,S,sols,,,449,6.05683,46.336105
2024-5092,2024-06-07,000001,Vente,165000,257,,RUE DE ROGELAND,0661,01170,01173,Gex,01,,,01173000AB0049,,,41,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.05535,46.338953
